Antibiotic	VME_Acc	VME_Conf_low	VME_Conf_high	ME_Acc	ME_Conf_low	ME_Conf_high	Res_Count	Sus_Count
SAM	0.0168574237955	0.00871151314764	0.0250033344433	0.0256356890779	0.00835029078313	0.0429210873727	1127	1288
SPT	0.0336956521739	-0.0338535348908	0.101244839239	0.313888888889	0.156492743153	0.471285034624	118	41
STR	0.163136843486	0.139226126838	0.187047560133	0.069363122753	0.053717393899	0.0850088516069	1514	3244
SXT	0.0591462473599	0.0515472609193	0.0667452338004	0.0694407158837	0.0658964706322	0.0729849611351	5833	11175
TET	0.07012280519	0.0590140215243	0.0812315888557	0.0446724546172	0.0410319044728	0.0483130047616	4649	6335
TIO	0.0216466234968	0.0213897830615	0.021903463932	0.0338030851266	0.0208210224691	0.0467851477842	231	887
TMP	0.210520487265	0.116716738173	0.304324236356	0.142287698779	0.103584376641	0.180991020916	213	428
TOB	0.039	0.00574055164194	0.0722594483581	0.05963150485	0.0479438920141	0.0713191176859	1000	2784
TZP	0.0483188304908	0.0130356580162	0.0836020029653	0.103191489362	0.0905063855161	0.115876593207	849	2820
VAN	0.0118767507003	0.00142421097476	0.0223292904258	0.0310119492158	0.00775428503841	0.0542696133933	421	517
all	0.0717655169159	0.0684857377043	0.0750452961275	0.0492250695568	0.0480040585956	0.050446080518	54344	144459
cefazoline	0.00747663551402	0.00228701849496	0.0126662525331	0.0199203187251	0.00831888369406	0.0315217537561	1070	1255
