Database Name	General Source	Specific Source	Disease	Clinical/Healthy
mild, self-limited diarrhea	stool		diarrhea	clinical
patient stool	stool			clinical
preterm infant faecal sample	stool			clinical
seafood comsumption associated diarrhea	stool		seafood comsumption associated diarrhea	clinical
secretory diarrhea	stool		diarrhea	clinical
stool	stool			clinical
stool sample	stool			clinical
stool sample from 52 year old healthy male	stool			healthy
stool sample from 53 year old healthy female	stool			healthy
stool sample from 84 year old male with stage 3 colorectal cancer	stool		colorectal cancer	clinical
stool sample from patient with cholera	stool		cholera	clinical
stool sample of individual with bacteremia	stool			clinical
stool specimen from a guillain-barre syndrome patient	stool		guillain-barre syndrome	clinical
stool, clinical	stool			clinical
watery diarrhea	stool		diarrhea	clinical
cervical	urogenital tract	cervix		clinical
cervix	urogenital tract	cervix		clinical
endo-cervical swab	urogenital tract	cervix		clinical
penile	urogenital tract	penis		clinical
penile discharge	urogenital tract	penis		clinical
penis/urethra	urogenital tract	penis,urethra		clinical
prostate	urogenital tract	prostate		clinical
prostatic tissue	urogenital tract	prostate		clinical
nongonococcal urethritis	urogenital tract	urethra	nongonococcal urethritis	clinical
urethra	urogenital tract	urethra		clinical
urethral swab	urogenital tract	urethra		clinical
urethritis	urogenital tract	urethra	urethritis	clinical
urethritis	urogenital tract	urethra	urethritis	clinical
dysuria	urogenital tract	urine	dysuria	clinical
excreted bodily substance; urine	urogenital tract	urine		clinical
midstream urine	urogenital tract	urine		clinical
urine	urogenital tract	urine		clinical
urine sample	urogenital tract	urine		clinical
urogenital tract tract; vaginal	urogenital tract	vagina		clinical
urogenital tract; vaginal	urogenital tract	vagina		clinical
vagina	urogenital tract	vagina		clinical
vaginal	urogenital tract	vagina		clinical
vaginal fluid	urogenital tract	vagina		clinical
vaginal microbiome	urogenital tract	vagina		clinical
vaginal mucus	urogenital tract	vagina		clinical
vaginal swab	urogenital tract	vagina		clinical
genital	urogenital tract			clinical
gonorrhea	urogenital tract		gonorrhea	clinical
gonorrhea	urogenital tract			clinical
indwelling urinary catheter	urogenital tract			clinical
isolate obtained from scrapings of the urogenital tract of a woman with inflammatory diseases of the reproductive organs	urogenital tract			clinical
patient with urinary tract infection	urogenital tract		urinary tract infection	clinical
recurrent uti	urogenital tract		urinary tract infection	clinical
std eval	urogenital tract			clinical
urinary infection	urogenital tract		urinary tract infection	clinical
urinary tract	urogenital tract			clinical
urinary tract infection	urogenital tract		urinary tract infection	clinical
urinary tract infection	urogenital tract		urinary tract infection	clinical
urinary tract infections	urogenital tract		urinary tract infection	clinical
urinary tract of patient suffering from type-2 diabetes	urogenital tract		type-2 diabetes	clinical
urine culture	urogenital tract			clinical
urine cvs	urogenital tract			clinical
urine infection	urogenital tract		urinary tract infection	clinical
urinogenital fluid	urogenital tract			clinical
urogenital disease	urogenital tract		urogenital disease	clinical
urogenital tract	urogenital tract			clinical
uti	urogenital tract		urinary tract infection	clinical
uti urinary tract	urogenital tract		urinary tract infection	clinical
abcess	wound		abscess	clinical
abdominal abscess	wound		abdominal abscess	clinical
abdominal wound	wound		wound	clinical
abscess	wound		abscess	clinical
foot wound	wound		wound	clinical
human wound	wound		wound	clinical
leg ulcer	wound		leg ulcer	clinical
leg wound	wound		wound	clinical
lesion swab	wound		wound	clinical
sternal wound	wound		wound	clinical
surgical wound	wound		wound	clinical
surgical wound infection	wound		wound	clinical
toe wound	wound		wound	clinical
warwound (surv)	wound		wound	clinical
wound	wound		wound	clinical
wound abdominal	wound		wound	clinical
wound biopsy	wound		wound	clinical
wound drainage fluid	wound		wound	clinical
wound exudate	wound		wound	clinical
wound exudate of bone fracture from a chinese 76-year-old male	wound		wound	clinical
wound fluid	wound		wound	clinical
wound fluid from a diabetic patient	wound		wound	clinical
wound infection	wound		wound	clinical
wound infection post surgery	wound		wound	clinical
wound labia	wound		wound	clinical
wound or pus swab	wound		wound	clinical
wound scalp	wound		wound	clinical
wound secretion	wound		wound	clinical
wound swab	wound		wound	clinical
wound swab sample	wound		wound	clinical
wound/abscess	wound		wound	clinical
19 patient samples				clinical
acinetobacter infection			acinetobacter infection	clinical
acinetobacter infections			acinetobacter infection	clinical
acute disseminated melioidosis			melioidosis	clinical
adenocarcinoma			cancer	clinical
adult invasive disease				clinical
anticubital site				clinical
antrum				clinical
aspirate				clinical
associated infection				clinical
bacterial infection				clinical
bacterial infection				clinical
bacterial infectious disease				clinical
biological fluid or tissue				clinical
biopsy				clinical
blood culture				clinical
blood culture of a hospitalized patient				clinical
blood cultures from patients				clinical
blood/csf				clinical
bodily fluid				clinical
botulism			botulism	clinical
brucelliosis			brucellosis	clinical
brucellosis			brucellosis	clinical
campylobacteriosis			campylobacteriosis	clinical
cancer			cancer	clinical
catheter				clinical
catheter tip				clinical
chlamydial infection			chlamydial infection	clinical
chronic infection				clinical
chronic melioidosis			melioidosis	clinical
clinical				clinical
clinical gonorrhea patients			gonorrhea	clinical
clinical isolate				clinical
clinical material				clinical
clinical or host-associated bacteria				clinical
clinical sample				clinical
clinical specimen				clinical
clostridium difficile infection			clostridium difficile infection	clinical
disease case				clinical
diseased				clinical
excreted bodily substance				clinical
extrapulmonary tuberculosis			tuberculosis	clinical
fever			fever	clinical
fluid				clinical
food poisoning			food poisoning	clinical
hard tick-borne relapsing fever (borrelia miyamotoi disease)			hard tick-borne relapsing fever (borrelia miyamotoi disease)	clinical
healthy				healthy
healthy adult 3c				healthy
healthy carrier				healthy
healthy control				healthy
healthy participant				healthy
healthy participants				healthy
healthy person				healthy
healthy volunteer				healthy
hemoculture				clinical
human clinical sample				clinical
human patient				clinical
icu patients				clinical
infant				clinical
infectious disease				clinical
invasive				clinical
invasive disease				clinical
late onset disease				clinical
legionellosis			legionellosis	clinical
leptospirosis			leptospirosis	clinical
listeriosis			listeriosis	clinical
mdr-tb			tuberculosis	clinical
melioidosis			melioidosis	clinical
meningococcemia			meningococcemia	clinical
metaplasia				clinical
miscellaneous body fluid				clinical
mycobacteriosis			mycobacteriosis	clinical
neonatal invasive disease				clinical
nocardiosis			nocardiosis	clinical
normal				healthy
nosocomial infection			nosocomial infection	clinical
nosocomial infections				clinical
orthopedic joint implant				clinical
patient				clinical
patient fluids				clinical
patient sample				clinical
patient ulcer				clinical
patient with severe clostridium difficile associated disease			patient with severe clostridium difficile associated disease	clinical
patients				clinical
patients (n=15) from 9 norwegian hospital laboratories				clinical
patients with invasive disease				clinical
patients with symptoms				clinical
pneumococcal disease			pneumococcal disease	clinical
pneumonia/sepsis				clinical
post surgical secretion				clinical
premature infant				clinical
prosthetic joint infection				clinical
puncture fluids				clinical
s. aureus infection				clinical
salmonellosis			salmonellosis	clinical
secretion				clinical
several infections				clinical
shigellosis			shigellosis	clinical
sick				clinical
staph infection			staph infection	clinical
staphylococcal infection			staphylococcal infection	clinical
stenotrophomonas maltophilia bacteremia			bacteremia	clinical
syphilis			syphilis	clinical
systemic salmonella infection			systemic salmonella infection	clinical
tb			tuberculosis	clinical
tissue				clinical
tissues				clinical
tuberculosis			tuberculosis	clinical
tuberculosis patient			tuberculosis	clinical
tularemia			tularemia	clinical
typhoid fever			typhoid fever	clinical
ulcer				clinical
ulceroglandular tularemia			ulceroglandular tularemia	clinical
vaginal-rectal				clinical
vaginal/rectal				clinical
vibrio infection			vibrio infection	clinical
vietnamese medical tourist				clinical
