Database Name	General Source	Specific Source	Disease	Clinical/Healthy
tracheal secretion	nasal, oral,  pharynx and respiratory	trachea		clinical
acute respiratory insufficiency	nasal, oral,  pharynx and respiratory		acute respiratory insufficiency	clinical
airways	nasal, oral,  pharynx and respiratory			clinical
airways; upper respiratory tract	nasal, oral,  pharynx and respiratory			clinical
cf	nasal, oral,  pharynx and respiratory		cystic fibrosis	clinical
chronic respiratory insufficiency	nasal, oral,  pharynx and respiratory			clinical
cystic fibrosis	nasal, oral,  pharynx and respiratory		cystic fibrosis	clinical
cystic fibrosis isolate	nasal, oral,  pharynx and respiratory		cystic fibrosis	clinical
cystic fibrosis patient	nasal, oral,  pharynx and respiratory		cystic fibrosis	clinical
diphtheria	nasal, oral,  pharynx and respiratory		diptheria	clinical
endotracheal aspirate/bronchoalveolar lavage fluid	nasal, oral,  pharynx and respiratory			clinical
pertussis	nasal, oral,  pharynx and respiratory		pertussis	clinical
respiratory	nasal, oral,  pharynx and respiratory			clinical
respiratory corynebacterium diphtheriae	nasal, oral,  pharynx and respiratory		diptheria	clinical
respiratory infection	nasal, oral,  pharynx and respiratory		respiratory tract infection	clinical
respiratory sample	nasal, oral,  pharynx and respiratory			clinical
respiratory system	nasal, oral,  pharynx and respiratory			clinical
respiratory system	nasal, oral,  pharynx and respiratory			clinical
respiratory tract	nasal, oral,  pharynx and respiratory			clinical
respiratory tract infection	nasal, oral,  pharynx and respiratory		respiratory tract infection	clinical
respiratory tract infections	nasal, oral,  pharynx and respiratory		respiratory tract infection	clinical
rti	nasal, oral,  pharynx and respiratory		respiratory tract infection	clinical
staphylococcus aureus respiratory disease	nasal, oral,  pharynx and respiratory		staphylococcus aureus respiratory disease	clinical
subacute cough	nasal, oral,  pharynx and respiratory		subacute cough	clinical
tracheobronchial aspirate	nasal, oral,  pharynx and respiratory			clinical
whooping cough	nasal, oral,  pharynx and respiratory		pertussis	clinical
neck/axilla	neck, axilla	neck, axilla		clinical
perineum	perineum	perineum		clinical
placenta	placenta	placenta		clinical
atopic dermatitis	skin, soft tissue	skin		clinical
burn	skin, soft tissue	skin		clinical
buruli ulcer	skin, soft tissue	skin	buruli ulcer	clinical
cellulitis	skin, soft tissue	skin	cellulitis	clinical
cutaneous ulcer	skin, soft tissue	skin	cutaneous ulcer	clinical
female behind the ears	skin, soft tissue	skin		clinical
human skin	skin, soft tissue	skin		clinical
pyoderma	skin, soft tissue	skin	pyoderma	clinical
s. aureus skin and soft tissue infection	skin, soft tissue	skin	skin and soft tissue infection	clinical
skin	skin, soft tissue	skin		clinical
skin and soft tissue	skin, soft tissue	skin		clinical
skin and soft tissue infection	skin, soft tissue	skin	skin and soft tissue infection	clinical
skin infection	skin, soft tissue	skin	skin infection	clinical
skin infection	skin, soft tissue	skin		clinical
skin lesion	skin, soft tissue	skin	skin lesion	clinical
skin lesions	skin, soft tissue	skin	skin lesion	clinical
skin of human	skin, soft tissue	skin		clinical
skin swab	skin, soft tissue	skin		clinical
skin; right arm	skin, soft tissue	skin		clinical
soft-skin infection or carrier	skin, soft tissue	skin		clinical
the cheek skin of 268 japanese infants 1 month and 6 months after birth	skin, soft tissue	skin		clinical
necrotizing fasciitis	skin, soft tissue	soft tissue	necrotizing fasciitis	clinical
soft tissue	skin, soft tissue	soft tissue		clinical
staphylococcus aureus soft tissue infection or abscess	skin, soft tissue	soft tissue	staphylococcus aureus soft tissue infection or abscess	clinical
cervical	urogenital tract	cervix		clinical
cervix	urogenital tract	cervix		clinical
endo-cervical swab	urogenital tract	cervix		clinical
penile	urogenital tract	penis		clinical
penile discharge	urogenital tract	penis		clinical
penis/urethra	urogenital tract	penis,urethra		clinical
prostate	urogenital tract	prostate		clinical
prostatic tissue	urogenital tract	prostate		clinical
nongonococcal urethritis	urogenital tract	urethra	nongonococcal urethritis	clinical
urethra	urogenital tract	urethra		clinical
urethral swab	urogenital tract	urethra		clinical
urethritis	urogenital tract	urethra	urethritis	clinical
urethritis	urogenital tract	urethra	urethritis	clinical
dysuria	urogenital tract	urine	dysuria	clinical
excreted bodily substance; urine	urogenital tract	urine		clinical
midstream urine	urogenital tract	urine		clinical
urine	urogenital tract	urine		clinical
urine sample	urogenital tract	urine		clinical
urogenital tract tract; vaginal	urogenital tract	vagina		clinical
urogenital tract; vaginal	urogenital tract	vagina		clinical
vagina	urogenital tract	vagina		clinical
vaginal	urogenital tract	vagina		clinical
vaginal fluid	urogenital tract	vagina		clinical
vaginal microbiome	urogenital tract	vagina		clinical
vaginal mucus	urogenital tract	vagina		clinical
vaginal swab	urogenital tract	vagina		clinical
genital	urogenital tract			clinical
gonorrhea	urogenital tract		gonorrhea	clinical
gonorrhea	urogenital tract			clinical
indwelling urinary catheter	urogenital tract			clinical
isolate obtained from scrapings of the urogenital tract of a woman with inflammatory diseases of the reproductive organs	urogenital tract			clinical
patient with urinary tract infection	urogenital tract		urinary tract infection	clinical
recurrent uti	urogenital tract		urinary tract infection	clinical
std eval	urogenital tract			clinical
urinary infection	urogenital tract		urinary tract infection	clinical
urinary tract	urogenital tract			clinical
urinary tract infection	urogenital tract		urinary tract infection	clinical
urinary tract infection	urogenital tract		urinary tract infection	clinical
urinary tract infections	urogenital tract		urinary tract infection	clinical
urinary tract of patient suffering from type-2 diabetes	urogenital tract		type-2 diabetes	clinical
urine culture	urogenital tract			clinical
urine cvs	urogenital tract			clinical
urine infection	urogenital tract		urinary tract infection	clinical
urinogenital fluid	urogenital tract			clinical
urogenital disease	urogenital tract		urogenital disease	clinical
urogenital tract	urogenital tract			clinical
uti	urogenital tract		urinary tract infection	clinical
uti urinary tract	urogenital tract		urinary tract infection	clinical
finger	wound	finger		clinical
foot	wound	foot		clinical
abcess	wound		abscess	clinical
abdominal abscess	wound		abdominal abscess	clinical
abdominal wound	wound		wound	clinical
abscess	wound		abscess	clinical
foot wound	wound		wound	clinical
human wound	wound		wound	clinical
leg ulcer	wound		leg ulcer	clinical
leg wound	wound		wound	clinical
lesion swab	wound		wound	clinical
sternal wound	wound		wound	clinical
surgical wound	wound		wound	clinical
surgical wound infection	wound		wound	clinical
toe wound	wound		wound	clinical
warwound (surv)	wound		wound	clinical
wound	wound		wound	clinical
wound abdominal	wound		wound	clinical
wound biopsy	wound		wound	clinical
wound drainage fluid	wound		wound	clinical
wound exudate	wound		wound	clinical
wound exudate of bone fracture from a chinese 76-year-old male	wound		wound	clinical
wound fluid	wound		wound	clinical
wound fluid from a diabetic patient	wound		wound	clinical
wound infection	wound		wound	clinical
wound infection post surgery	wound		wound	clinical
wound labia	wound		wound	clinical
wound or pus swab	wound		wound	clinical
wound scalp	wound		wound	clinical
wound secretion	wound		wound	clinical
wound swab	wound		wound	clinical
wound swab sample	wound		wound	clinical
wound/abscess	wound		wound	clinical
hospital-acquired infection/sepsis			sepsis	clinical
sepsis			sepsis	clinical
septicemia			sepsis	clinical
staphylococcus aureus bloodstream infection or sepsis			sepsis	clinical
19 patient samples				clinical
acinetobacter infection			acinetobacter infection	clinical
acinetobacter infections			acinetobacter infection	clinical
acute disseminated melioidosis			melioidosis	clinical
adenocarcinoma			cancer	clinical
adult invasive disease				clinical
anticubital site				clinical
antrum				clinical
aspirate				clinical
associated infection				clinical
bacterial infection				clinical
bacterial infection				clinical
bacterial infectious disease				clinical
biological fluid or tissue				clinical
biopsy				clinical
blood culture				clinical
blood culture of a hospitalized patient				clinical
blood cultures from patients				clinical
blood/csf				clinical
bodily fluid				clinical
botulism			botulism	clinical
brucelliosis			brucellosis	clinical
brucellosis			brucellosis	clinical
campylobacteriosis			campylobacteriosis	clinical
cancer			cancer	clinical
catheter				clinical
catheter tip				clinical
chlamydial infection			chlamydial infection	clinical
chronic infection				clinical
chronic melioidosis			melioidosis	clinical
clinical				clinical
clinical gonorrhea patients			gonorrhea	clinical
clinical isolate				clinical
clinical material				clinical
clinical or host-associated bacteria				clinical
clinical sample				clinical
clinical specimen				clinical
clostridium difficile infection			clostridium difficile infection	clinical
disease case				clinical
diseased				clinical
excreted bodily substance				clinical
extrapulmonary tuberculosis			tuberculosis	clinical
